0,0
0.188909,0.0656772
0.132516,0.257562
0.16961,0.454092
0.161031,0.653908
0.266305,0.82396
0.277217,1.02366
0.212715,1.21297
0.192382,1.41194
0.169859,1.61067
0.290168,1.77043
0.425305,1.91787
0.443353,2.11706
0.496111,2.30997
0.547491,2.50326
0.485984,2.69357
0.558201,2.88007
0.714837,3.00443
0.903619,2.93839
1.07282,3.04502
1.23952,3.15554
1.34047,3.32819
1.52378,3.40817
1.6395,3.57129
1.78123,3.71241
1.9778,3.74927
2.12981,3.87925
2.26673,4.02503
2.46335,4.06163
2.63066,4.1712
2.82572,4.21541
3.0249,4.23346
3.21073,4.15951
3.34683,4.30606
3.48528,4.4504
3.68386,4.42662
3.79886,4.59025
3.99321,4.54305
4.05978,4.73165
4.19124,4.88237
4.2916,5.05537
4.47887,4.98513
4.67887,4.98497
4.75914,5.16815
4.8394,5.35134
4.93701,5.52591
4.96883,5.72336
5.05135,5.90554
5.20251,6.0365
5.36688,6.15044
5.43165,6.33966
5.52626,6.51587
5.58708,6.7064
5.64789,6.89693
5.52272,7.05291
5.61272,7.23151
5.77638,7.34648
5.84113,7.53571
5.90588,7.72493
6.10149,7.76662
6.02173,7.95003
